tempo_ms,hx_raw,hx_net,invalid,beep_up,beep_down,trim_release,limit_top,limit_bottom,movement,ap,hyd,pos
31488,264650,49389,0,0,0,0,0,0,0,0,0,0
31780,264519,49258,0,0,0,0,0,0,0,0,0,0
32071,264649,49388,0,0,0,0,0,0,0,0,0,0
32364,264708,49447,0,0,0,0,0,0,0,0,0,0
32655,264732,49471,0,0,0,0,0,0,0,0,0,0
32947,264684,49423,0,0,0,0,0,0,0,0,0,0
33238,264531,49270,0,0,0,0,0,0,0,0,0,0
33529,264553,49292,0,0,0,0,0,0,0,0,0,0
33821,264255,48994,0,0,0,0,0,0,0,0,0,0
34113,264426,49165,0,0,0,0,0,0,0,0,0,0
34404,264424,49163,0,0,0,0,0,0,0,0,0,0
34695,264500,49239,0,0,0,0,0,0,0,0,0,0
34988,264749,49488,0,0,0,0,0,0,0,0,0,0
35279,264452,49191,0,0,0,0,0,0,0,0,0,0
35571,264463,49202,0,0,0,0,0,0,0,0,0,0
35863,264260,48999,0,0,0,0,0,0,0,0,0,0
36154,264337,49076,0,0,0,0,0,0,0,0,0,0
36446,264421,49160,0,0,0,0,0,0,0,0,0,0
36737,264521,49260,0,0,0,0,0,0,0,0,0,0
37028,264660,49399,0,0,0,0,0,0,0,0,0,0
37320,264506,49245,0,0,0,0,0,0,0,0,0,0
37612,264547,49286,0,0,0,0,0,0,0,0,0,0
37903,264356,49095,0,0,0,0,0,0,0,0,0,0
38195,264361,49100,0,0,0,0,0,0,0,0,0,0
38486,264492,49231,0,0,0,0,0,0,0,0,0,0
38778,264335,49074,0,0,0,0,0,0,0,0,0,0
39070,264425,49164,0,0,0,0,0,0,0,0,0,0
39361,264426,49165,0,0,0,0,0,0,0,0,0,0
39653,264576,49315,0,0,0,0,0,0,0,0,0,0
39944,264441,49180,0,0,0,0,0,0,0,0,0,0
40237,264495,49234,0,0,0,0,0,0,0,0,0,0
40528,264606,49345,0,0,0,0,0,0,0,0,0,0
40819,264831,49570,0,0,0,0,0,0,0,0,0,0
41111,264834,49573,0,0,0,0,0,0,0,0,0,0
41402,264635,49374,0,0,0,0,0,0,0,0,0,0
41694,264699,49438,0,0,0,0,0,0,0,0,0,0
41986,264920,49659,0,0,0,0,0,0,0,0,0,0
42277,264778,49517,0,0,0,0,0,0,0,0,0,0
42569,264666,49405,0,0,0,0,0,0,0,0,0,0
42860,264734,49473,0,0,0,0,0,0,0,0,0,0
43151,264824,49563,0,0,0,0,0,0,0,0,0,0
43444,264833,49572,0,0,0,0,0,0,0,0,0,0
43735,264680,49419,0,0,0,0,0,0,0,0,0,0
44027,264784,49523,0,0,0,0,0,0,0,0,0,0
44318,264827,49566,0,0,0,0,0,0,0,0,0,0
44610,264726,49465,0,0,0,0,0,0,0,0,0,0
44901,264765,49504,0,0,0,0,0,0,0,0,0,0
45193,264791,49530,0,0,0,0,0,0,0,0,0,0
45485,264884,49623,0,0,0,0,0,0,0,0,0,0
45776,264813,49552,0,0,0,0,0,0,0,0,0,0
46068,264678,49417,0,0,0,0,0,0,0,0,0,0
46359,264567,49306,0,0,0,0,0,0,0,0,0,0
46650,264648,49387,0,0,0,0,0,0,0,0,0,0
46943,264726,49465,0,0,0,0,0,0,0,0,0,0
47234,264741,49480,0,0,0,0,0,0,0,0,0,0
47526,264677,49416,0,0,0,0,0,0,0,0,0,0
47817,264729,49468,0,0,0,0,0,0,0,0,0,0
48109,264629,49368,0,0,0,0,0,0,0,0,0,0
48400,264770,49509,0,0,0,0,0,0,0,0,0,0
48692,264734,49473,0,0,0,0,0,0,0,0,0,0
48984,264849,49588,0,0,0,0,0,0,0,0,0,0
49275,264882,49621,0,0,0,0,0,0,0,0,0,0
49567,264711,49450,0,0,0,0,0,0,0,0,0,0
49858,264667,49406,0,0,0,0,0,0,0,0,0,0
50150,264493,49232,0,0,0,0,0,0,0,0,0,0
50441,264690,49429,0,0,0,0,0,0,0,0,0,0
50733,264659,49398,0,0,0,0,0,0,0,0,0,0
51024,264768,49507,0,0,0,0,0,0,0,0,0,0
51317,269255,53994,0,0,0,0,0,0,0,0,0,0
51608,270398,55137,0,0,0,0,0,0,0,0,0,0
51899,270524,55263,0,0,0,0,0,0,0,0,0,0
52191,270393,55132,0,0,0,0,0,0,0,0,0,0
52482,270382,55121,0,0,0,0,0,0,0,0,0,0
52774,270243,54982,0,0,0,0,0,0,0,0,0,0
53065,270188,54927,0,0,0,0,0,0,0,0,0,0
53357,271563,56302,0,0,0,0,0,0,0,0,0,0
53649,271498,56237,0,0,0,0,0,0,0,0,0,0
53940,271747,56486,0,0,0,0,0,0,0,0,0,0
54232,271798,56537,0,0,0,0,0,0,0,0,0,0
54523,271685,56424,0,0,0,0,0,0,0,0,0,0
54814,271470,56209,0,0,0,0,0,0,0,0,0,0
55107,271548,56287,0,0,0,0,0,0,0,0,0,0
55398,271579,56318,0,0,0,0,0,0,0,0,0,0
55690,271635,56374,0,0,0,0,0,0,0,0,0,0
55981,271349,56088,0,0,0,0,0,0,0,0,0,0
56273,271501,56240,0,0,0,0,0,0,0,0,0,0
56564,271387,56126,0,0,0,0,0,0,0,0,0,0
56856,271436,56175,0,0,0,0,0,0,0,0,0,0
57147,271499,56238,0,0,0,0,0,0,0,0,0,0
57438,271477,56216,0,0,0,0,0,0,0,0,0,0
57731,271514,56253,0,0,0,0,0,0,0,0,0,0
58022,271434,56173,0,0,0,0,0,0,0,0,0,0
58314,271517,56256,0,0,0,0,0,0,0,0,0,0
58605,271512,56251,0,0,0,0,0,0,0,0,0,0
58897,271298,56037,0,0,0,0,0,0,0,0,0,0
59188,271179,55918,0,0,0,0,0,0,0,0,0,0
59480,271403,56142,0,0,0,0,0,0,0,0,0,0
59771,271427,56166,0,0,0,0,0,0,0,0,0,0
60063,271568,56307,0,0,0,0,0,0,0,0,0,0
60355,271576,56315,0,0,0,0,0,0,0,0,0,0
60646,271021,55760,0,0,0,0,0,0,0,0,0,0
60938,265094,49833,0,0,0,0,0,0,0,0,0,0
61229,264208,48947,0,0,0,0,0,0,0,0,0,0
61521,264121,48860,0,0,0,0,0,0,0,0,0,0
61812,264231,48970,0,0,0,0,0,0,0,0,0,0
62104,264142,48881,0,0,0,0,0,0,0,0,0,0
62395,264064,48803,0,0,0,0,0,0,0,0,0,0
62687,263994,48733,0,0,0,0,0,0,0,0,0,0
62978,263930,48669,0,0,0,0,0,0,0,0,0,0
63270,264007,48746,0,0,0,0,0,0,0,0,0,0
63562,263994,48733,0,0,0,0,0,0,0,0,0,0
63854,263988,48727,0,0,0,0,0,0,0,0,0,0
64145,264034,48773,0,0,0,0,0,0,0,0,0,0
64436,263962,48701,0,0,0,0,0,0,0,0,0,0
64728,263816,48555,0,0,0,0,0,0,0,0,0,0
65019,263925,48664,0,0,0,0,0,0,0,0,0,0
65311,263946,48685,0,0,0,0,0,0,0,0,0,0
65602,263901,48640,0,0,0,0,0,0,0,0,0,0
65894,264149,48888,0,0,0,0,0,0,0,0,0,0
66186,264397,49136,0,0,0,0,0,0,0,0,0,0
66477,264218,48957,0,0,0,0,0,0,0,0,0,0
66769,263545,48284,0,0,0,0,0,0,0,0,0,0
67060,263576,48315,0,0,0,0,0,0,0,0,0,0
67352,263377,48116,0,0,0,0,0,0,0,0,0,0
67643,263467,48206,0,0,0,0,0,0,0,0,0,0
67935,263513,48252,0,0,0,0,0,0,0,0,0,0
68226,263557,48296,0,0,0,0,0,0,0,0,0,0
68518,263456,48195,0,0,0,0,0,0,0,0,0,0
68809,263259,47998,0,0,0,0,0,0,0,0,0,0
69101,263935,48674,0,0,0,0,0,0,0,0,0,0
69393,269892,54631,0,0,0,0,0,0,0,0,0,0
69684,270701,55440,0,0,0,0,0,0,0,0,0,0
69976,270803,55542,0,0,0,0,0,0,0,0,0,0
70267,270575,55314,0,0,0,0,0,0,0,0,0,0
70559,270705,55444,0,0,0,0,0,0,0,0,0,0
70850,270649,55388,0,0,0,0,0,0,0,0,0,0
71141,270666,55405,0,0,0,0,0,0,0,0,0,0
71433,270629,55368,0,0,0,0,0,0,0,0,0,0
71724,270706,55445,0,0,0,0,0,0,0,0,0,0
72017,270800,55539,0,0,0,0,0,0,0,0,0,0
72308,270786,55525,0,0,0,0,0,0,0,0,0,0
72600,270706,55445,0,0,0,0,0,0,0,0,0,0
72891,270546,55285,0,0,0,0,0,0,0,0,0,0
73183,270440,55179,0,0,0,0,0,0,0,0,0,0
73474,270548,55287,0,0,0,0,0,0,0,0,0,0
73766,270484,55223,0,0,0,0,0,0,0,0,0,0
74057,270640,55379,0,0,0,0,0,0,0,0,0,0
74348,271573,56312,0,0,0,0,0,0,0,0,0,0
74640,270383,55122,0,0,0,0,0,0,0,0,0,0
74932,270643,55382,0,0,0,0,0,0,0,0,0,0
75224,270896,55635,0,0,0,0,0,0,0,0,0,0
75515,270809,55548,0,0,0,0,0,0,0,0,0,0
75807,270972,55711,0,0,0,0,0,0,0,0,0,0
76098,270666,55405,0,0,0,0,0,0,0,0,0,0
76390,270744,55483,0,0,0,0,0,0,0,0,0,0
76681,270959,55698,0,0,0,0,0,0,0,0,0,0
76972,270957,55696,0,0,0,0,0,0,0,0,0,0
77264,270933,55672,0,0,0,0,0,0,0,0,0,0
77555,270601,55340,0,0,0,0,0,0,0,0,0,0
77847,271005,55744,0,0,0,0,0,0,0,0,0,0
78139,270791,55530,0,0,0,0,0,0,0,0,0,0
78430,270754,55493,0,0,0,0,0,0,0,0,0,0
78722,270534,55273,0,0,0,0,0,0,0,0,0,0
79013,270535,55274,0,0,0,0,0,0,0,0,0,0
79305,270824,55563,0,0,0,0,0,0,0,0,0,0
79596,270836,55575,0,0,0,0,0,0,0,0,0,0
79887,270696,55435,0,0,0,0,0,0,0,0,0,0
80180,270664,55403,0,0,0,0,0,0,0,0,0,0
80471,270654,55393,0,0,0,0,0,0,0,0,0,0
80763,270949,55688,0,0,0,0,0,0,0,0,0,0
81054,271266,56005,0,0,0,0,0,0,0,0,0,0
81346,271378,56117,0,0,0,0,0,0,0,0,0,0
81637,270719,55458,0,0,0,0,0,0,0,0,0,0
81929,270483,55222,0,0,0,0,0,0,0,0,0,0
82220,270945,55684,0,0,0,0,0,0,0,0,0,0
82511,271056,55795,0,0,0,0,0,0,0,0,0,0
82804,271063,55802,0,0,0,0,0,0,0,0,0,0
83095,271954,56693,0,0,0,0,0,0,0,0,0,0
83387,271927,56666,0,0,0,0,0,0,0,0,0,0
83678,271679,56418,0,0,0,0,0,0,0,0,0,0
83969,272076,56815,0,0,0,0,0,0,0,0,0,0
84261,271846,56585,0,0,0,0,0,0,0,0,0,0
84552,271763,56502,0,0,0,0,0,0,0,0,0,0
84844,271942,56681,0,0,0,0,0,0,0,0,0,0
