tempo_ms,hx_raw,hx_net,delta,spikes
87106,220992,4284,4109,28
87735,216967,259,-4025,28
88364,1542497,1325789,1325530,29
88657,216886,178,-1325611,30
88949,216848,140,-38,30
89580,217038,330,190,30
89872,216932,224,-106,30
90164,216928,220,-4,30
90456,217054,346,126,30
90748,216813,105,-241,30
91379,218392,1684,1579,30
91670,217015,307,-1377,30
92302,217058,350,43,30
92594,216938,230,-120,30
93223,1542753,1326045,1325815,31
93514,216889,181,-1325864,32
93807,216751,43,-138,32
94099,216909,201,158,32
94391,217073,365,164,32
94684,217037,329,-36,32
94976,216958,250,-79,32
95269,217135,427,177,32
95900,217078,370,-57,32
96192,216829,121,-249,32
96485,216794,86,-35,32
96777,216662,-46,-132,32
97068,216629,-79,-33,32
97361,216650,-58,21,32
97653,216744,36,94,32
97945,216941,233,197,32
98577,2940684,2723976,2723743,33
98869,216637,-71,-2724047,34
99162,216806,98,169,34
99454,216868,160,62,34
99746,216755,47,-113,34
100377,218112,1404,1357,34
100670,216734,26,-1378,34
100962,216562,-146,-172,34
101254,216601,-107,39,34
101884,221008,4300,4407,34
102176,216976,268,-4032,34
102469,216612,-96,-364,34
102760,216884,176,272,34
103053,216729,21,-155,34
103345,216795,87,66,34
103637,216750,42,-45,34
104269,216674,-34,-76,34
104561,216961,253,287,34
104853,216894,186,-67,34
105146,216722,14,-172,34
105438,216788,80,66,34
105730,216877,169,89,34
106023,216728,20,-149,34
106651,843619,626911,626891,35
106944,216671,-37,-626948,36
107235,216713,5,42,36
107527,216791,83,78,36
108158,216544,-164,-247,36
108449,216878,170,334,36
108742,216601,-107,-277,36
109373,216724,16,123,36
109666,216660,-48,-64,36
110297,216854,146,194,36
110927,216721,13,-133,36
111220,216701,-7,-20,36
111851,216711,3,10,36
112143,216823,115,112,36
112435,216902,194,79,36
112728,216847,139,-55,36
113020,216907,199,60,36
113651,216849,141,-58,36
113943,216743,35,-106,36
114236,216833,125,90,36
114528,216831,123,-2,36
114819,216830,122,-1,36
115112,216600,-108,-230,36
115404,216678,-30,78,36
116034,231894,15186,15216,36
116325,216803,95,-15091,36
116956,216728,20,-75,36
117248,216723,15,-5,36
117879,216812,104,89,36
118171,216696,-12,-116,36
118463,216422,-286,-274,36
118755,216610,-98,188,36
119048,144387,-72321,-72223,37
119679,216667,-41,72280,38
120308,144610,-72098,-72057,39
120600,216674,-34,72064,40
120892,216771,63,97,40
121523,217110,402,339,40
121815,216869,161,-241,40
122107,216969,261,100,40
122399,216929,221,-40,40
122692,217096,388,167,40
122984,216840,132,-256,40
123276,319380,102672,102540,41
123905,216981,273,-102399,42
124197,216804,96,-177,42
124490,216793,85,-11,42
124782,216885,177,92,42
125074,216789,81,-96,42
125703,494040,277332,277251,43
125995,216804,96,-277236,44
126288,216704,-4,-100,44
